STRIKE_PRICE,TRADING_SYMBOL,INSTRUMENT_TOKEN,OPTION
23750,NIFTY24D1223750PE,11795970,PE
23800,NIFTY24D1223800CE,11796226,CE
23800,NIFTY24D1223800PE,11796482,PE
23850,NIFTY24D1223850CE,11796738,CE
23850,NIFTY24D1223850PE,11796994,PE
23900,NIFTY24D1223900CE,11797250,CE
23900,NIFTY24D1223900PE,11797506,PE
23950,NIFTY24D1223950CE,11797762,CE
23950,NIFTY24D1223950PE,11798530,PE
24000,NIFTY24D1224000CE,11798786,CE
24000,NIFTY24D1224000PE,11799042,PE
24050,NIFTY24D1224050CE,11799298,CE
24050,NIFTY24D1224050PE,11799554,PE
24100,NIFTY24D1224100CE,11799810,CE
24100,NIFTY24D1224100PE,11800066,PE
24150,NIFTY24D1224150CE,11800322,CE
24150,NIFTY24D1224150PE,11800578,PE
24200,NIFTY24D1224200CE,11800834,CE
24200,NIFTY24D1224200PE,11801090,PE
24250,NIFTY24D1224250CE,11801346,CE
24250,NIFTY24D1224250PE,11802370,PE
24300,NIFTY24D1224300CE,11802882,CE
24300,NIFTY24D1224300PE,11803138,PE
24350,NIFTY24D1224350CE,11804418,CE
24350,NIFTY24D1224350PE,11804674,PE
24400,NIFTY24D1224400CE,11804930,CE
24400,NIFTY24D1224400PE,11805186,PE
24450,NIFTY24D1224450CE,11805442,CE
24450,NIFTY24D1224450PE,11805698,PE
24500,NIFTY24D1224500CE,11805954,CE
24500,NIFTY24D1224500PE,11806210,PE
24550,NIFTY24D1224550CE,11806466,CE
24550,NIFTY24D1224550PE,11806722,PE
24600,NIFTY24D1224600CE,11806978,CE
24600,NIFTY24D1224600PE,11807234,PE
24650,NIFTY24D1224650CE,11807490,CE
24650,NIFTY24D1224650PE,11807746,PE
24700,NIFTY24D1224700CE,11808002,CE
24700,NIFTY24D1224700PE,11808258,PE
24750,NIFTY24D1224750CE,11809026,CE
24750,NIFTY24D1224750PE,11809282,PE
24800,NIFTY24D1224800CE,11809538,CE
24800,NIFTY24D1224800PE,11809794,PE
24850,NIFTY24D1224850CE,11810050,CE
24850,NIFTY24D1224850PE,11810306,PE
24900,NIFTY24D1224900CE,11810562,CE
24900,NIFTY24D1224900PE,11810818,PE
24950,NIFTY24D1224950CE,11811074,CE
24950,NIFTY24D1224950PE,11811330,PE
25000,NIFTY24D1225000CE,11811586,CE
25000,NIFTY24D1225000PE,11812354,PE
25050,NIFTY24D1225050CE,11812610,CE
25050,NIFTY24D1225050PE,11812866,PE
25100,NIFTY24D1225100CE,11813122,CE
25100,NIFTY24D1225100PE,11813378,PE
25150,NIFTY24D1225150CE,11814146,CE
25150,NIFTY24D1225150PE,11814402,PE
25200,NIFTY24D1225200CE,11814658,CE
25200,NIFTY24D1225200PE,11814914,PE
25250,NIFTY24D1225250CE,11815682,CE
25250,NIFTY24D1225250PE,11815938,PE
25300,NIFTY24D1225300CE,11816194,CE
25300,NIFTY24D1225300PE,11816450,PE
25350,NIFTY24D1225350CE,11816706,CE
25350,NIFTY24D1225350PE,11816962,PE
25400,NIFTY24D1225400CE,11817218,CE
25400,NIFTY24D1225400PE,11817986,PE
25450,NIFTY24D1225450CE,11818242,CE
25450,NIFTY24D1225450PE,11818498,PE
25500,NIFTY24D1225500CE,11818754,CE
25500,NIFTY24D1225500PE,11820546,PE
25550,NIFTY24D1225550CE,11820802,CE
25550,NIFTY24D1225550PE,11821570,PE
25600,NIFTY24D1225600CE,11821826,CE
25600,NIFTY24D1225600PE,11823106,PE
25650,NIFTY24D1225650CE,11823874,CE
25650,NIFTY24D1225650PE,11824642,PE
25700,NIFTY24D1225700CE,11824898,CE
25700,NIFTY24D1225700PE,11825154,PE
25750,NIFTY24D1225750CE,11825410,CE
25750,NIFTY24D1225750PE,11825922,PE
25800,NIFTY24D1225800CE,11826178,CE
25800,NIFTY24D1225800PE,11826434,PE
25850,NIFTY24D1225850CE,11826690,CE
25850,NIFTY24D1225850PE,11827458,PE
25900,NIFTY24D1225900CE,11827714,CE
25900,NIFTY24D1225900PE,11827970,PE
25950,NIFTY24D1225950CE,11828226,CE
25950,NIFTY24D1225950PE,11828482,PE
